Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,4469.6,0.1,06:32.8,07:30.5,1.11,00:00.0,0,38.5,1099,4.1,0,---,---,---,---,---,---,---,---,---,---,52.5697878,-0.1751891
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Per-Stroke Data:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,130.8,0,00:49.2,03:02.5,2.74,00:00.0,0,21.5,17,7.6,0,---,---,---,---,---,---,---,---,---,---,52.5698004,-0.1769904
1,138.2,0,00:52.0,03:06.6,2.68,00:00.0,0,21.5,18,7.4,0,---,---,---,---,---,---,---,---,---,---,52.5697921,-0.1770992
1,145.7,0,00:54.8,03:08.0,2.66,00:00.0,0,20.5,19,7.5,0,---,---,---,---,---,---,---,---,---,---,52.5697841,-0.1772092
1,153.4,0,00:57.6,03:07.3,2.67,00:00.0,0,21.5,20,7.7,0,---,---,---,---,---,---,---,---,---,---,52.5697802,-0.1773223
1,160.9,0,01:00.4,03:03.8,2.72,00:00.0,0,22.5,21,7.6,0,---,---,---,---,---,---,---,---,---,---,52.5697726,-0.1774337
1,168.1,0,01:03.0,03:01.2,2.76,00:00.0,0,22.5,22,7.1,0,---,---,---,---,---,---,---,---,---,---,52.5697638,-0.1775381
1,175.5,0,01:05.6,02:59.2,2.79,00:00.0,0,22,23,7.4,0,---,---,---,---,---,---,---,---,---,---,52.5697533,-0.1776458
1,183.1,0,01:08.2,02:55.4,2.85,00:00.0,0,23,24,7.6,0,---,---,---,---,---,---,---,---,---,---,52.5697452,-0.1777575
1,191,0,01:11.0,02:52.4,2.9,00:00.0,0,22,25,8,0,---,---,---,---,---,---,---,---,---,---,52.5697284,-0.1778721
1,197.9,0,01:13.6,02:54.8,2.86,00:00.0,0,22,26,6.9,0,---,---,---,---,---,---,---,---,---,---,52.5697077,-0.1779683
1,205.7,0,01:16.6,03:01.2,2.76,00:00.0,0,22,27,7.8,0,---,---,---,---,---,---,---,---,---,---,52.5696861,-0.1780768
1,212.7,0,01:19.0,03:04.5,2.71,00:00.0,0,22.5,28,7,0,---,---,---,---,---,---,---,---,---,---,52.5696667,-0.1781759
1,219.8,0,01:21.6,03:05.9,2.69,00:00.0,0,23.5,29,7,0,---,---,---,---,---,---,---,---,---,---,52.5696562,-0.1782787
